"","colony_num","new_yard","split_date","parent_yard","parent_id","varroa_5cup","splits_made","stratum","trt","trt_numeric","ch2_date","ch2_var_tray","ch2_var_wash","ch2_var_total","ch2_wash_workers","ch2_wash_drones","ch2_wash_queens","ch18_date","ch18_qstatus","ch18_eggs","ch18_ageoldest","ch18_age","ch30_date","ch30_eggs","ch30_qstatus","ch30_ageoldest","ch30_age","lay_18","lay_30","start_layday","ch44_date","ch44_eggs","ch44_qstatus","ch44_fob","ch58_date","ch58_eggs","ch58_qstatus","ch58_fob","ch72_date","ch72_eggs","ch72_qstatus","ch72_fob","ch72_supered","ch77_var_total","ch77_wash_workers","ch77_wash_drones","ch77_wash_queens","ch77_supers_use","ch77_lbs","bottom_board","supers_supering_sheet_dontuse","chpost_date","post_supers_use","post_lbs","post_q_status","post_quick_fob","post_issues","chpost_var_total","chpost_wash_workers","chpost_wash_drones","chpost_wash_queens","date_decided_remove","exp_day_decided_remove","reason_removal","date","ch77_qstatus","ch77_efb","ch77_deeps_num","ch77_mediums_num","frames_bees","frames_wbr","frames_dbr","frames_honey","trt_label","trt_type","efb_columns","efb","ch2_wash_bees","ch77_wash_bees","chpost_wash_bees","qstatuses","failed","weak","QL","DL","established","issues","ch77_lbs_C","ch77_kgs_C","post_lbs_C","post_kgs_C"
"34","22-034","Shaw","3/8/22","MOT","21-022",1,2,6,"6-ManyDribble",6,"3/10/22",NA,NA,2,291,5,0,"3/26/22","QR","Y","Eggs",2,"4/7/22","Y","QR","Capped",NA,"16","#VALUE!",16,"4/21/22","Y","QR",8.5,"5/5/22","Y","QR","14","5/19/22","Y","QR",16,"",2,344,19,0,1,157.6,"Normal",2,"7/1/22",2,191,"QR",15,NA,5,236,1,0,"",NA,"","2022-05-24","QS",NA,2,1,4.196,2.0375,0.125,10.554,"5x OA Dribble","Organic"," NA",0,296,363,237,"QR QR QR QS ",0,0,0,0,1,0,157.6,71.5504,179,81.266
"35","22-035","Shaw","3/8/22","MOT","20-71",4,2,4,"7-HopGuard",7,"3/10/22",NA,NA,8,281,2,0,"3/26/22","QS","Y","L4",7,"4/7/22","Y","QR","Capped",NA,"11","#VALUE!",11,"4/21/22","Y","QR",10.5,"5/5/22","Y","QR","12","5/19/22","N","QL",13,"",15,370,6,0,1,134.6,"Normal",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/24/22",77,"VQS","2022-05-24","VS",NA,2,1,3.9,0.7375,0.0375,7.8375,"HopGuard","Organic","VQS NA",0,283,376,NA,"QR QR QL VS VQS",0,0,1,0,1,1,134.6,61.1084,NA,NA
"36","22-036","Shaw","3/8/22","MOT","20-71",4,2,4,"4-Dribble18",4,"3/10/22",NA,NA,5,289,5,0,"3/26/22","QR","Y","Eggs",2,"4/7/22","Y","QS","Capped",NA,"16","#VALUE!",16,"4/21/22","Y","QR",9,"5/5/22","Y","QS","12","5/19/22","Y","QR",5,"",23,304,13,0,1,133.4,"Normal",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/24/22",77,"QL and decimated by ants","2022-05-24","QL",NA,2,1,1.7375,1.475,0.075,10.81,"OA Dribble","Organic","QL and decimated by ants NA",0,294,317,NA,"QR QS QR QL QL and decimated by ants",0,0,1,0,1,1,133.4,60.5636,NA,NA
"37","22-037","Shaw","3/8/22","S6","21-228",4,3,4,"5-Vapor18",5,"3/10/22",NA,NA,5,234,24,0,"3/26/22","QNS","N",NA,NA,"4/7/22","Y","QR","Prepupa",11,"#VALUE!","19",19,"4/21/22","Y","QR",7.5,"5/5/22","Y","QR","12","5/19/22","Y","QR",14,"",8,347,0,0,1,142.6,"Normal",1,"7/1/22",1,163,"QR",13,NA,4,287,2,0,"",NA,"","2022-05-24","QS",NA,2,1,3.95,2.0625,0,8.4,"OA Vapor","Organic"," NA",0,258,347,289,"QR QR QR QS ",0,0,0,0,1,0,142.6,64.7404,163,74.002
"38","22-038","Shaw","3/8/22","S6","21-228",4,3,4,"1-Control",1,"3/10/22",NA,NA,3,285,14,0,"3/26/22","QNS","N",NA,NA,"4/7/22","Y","QR","L2",5,"#VALUE!","25",25,"4/21/22","Y","DL",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4/21/22",44,"DL",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control","Control","DL NA",0,299,NA,NA,"DL NA NA NA DL",1,0,0,0,0,1,NA,NA,NA,NA
"39","22-039","Shaw","3/8/22","S6","21-228",4,3,4,"2-Apivar",2,"3/10/22",NA,NA,2,272,16,0,"3/26/22","QNS","N",NA,NA,"4/7/22","Y","QR","L3",6,"#VALUE!","24",24,"4/21/22","Y","DL",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4/21/22",44,"DL",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Apivar","Synthetic","DL NA",0,288,NA,NA,"DL NA NA NA DL",1,0,0,0,0,1,NA,NA,NA,NA
"40","22-040","Shaw","3/8/22","S6","21-224",16,3,2,"2-Apivar",2,"3/10/22",10,10,20,274,4,0,"3/26/22","QR","Y","L4",7,"4/7/22","Y","QR","Capped",NA,"11","#VALUE!",11,"4/21/22","Y","QR",8,"5/5/22","Y","QR","11.5","5/19/22","Y","QR",12,"",19,388,6,0,1,134.6,"Normal",1,"7/1/22",1,146.4,"QR",10,NA,35,453,0,0,"",NA,"","2022-05-24","QS",NA,2,1,3.4,2.05,0,7.775,"Apivar","Synthetic"," NA",0,278,394,453,"QR QR QR QS ",0,0,0,0,1,0,134.6,61.1084,146.4,66.4656
"41","22-041","Shaw","3/8/22","S6","21-224",16,3,2,"5-Vapor18",5,"3/10/22",5,14,19,294,4,0,"3/26/22","QNS","N",NA,NA,"4/7/22","N","QNS",NA,NA,"#VALUE!","#VALUE!",NA,"4/21/22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4/7/22",30,"Failed to mate",NA,NA,NA,NA,NA,NA,NA,NA,NA,"OA Vapor","Organic","Failed to mate NA",0,298,NA,NA,"NA NA NA NA Failed to mate",1,0,0,0,0,1,NA,NA,NA,NA
"42","22-042","Shaw","3/8/22","S6","21-224",16,3,2,"7-HopGuard",7,"3/10/22",NA,NA,24,282,1,0,"3/26/22","QS","Y","L1",4,"4/7/22","Y","QR","Capped",NA,"14","#VALUE!",14,"4/21/22","Y","QR",8.5,"5/5/22","Y","QR","12.5","5/19/22","Y","QR",16,"second super",2,276,9,0,2,163.8,"Normal",2,"7/1/22",2,203.4,"QR",16,NA,5,366,3,0,"",NA,"","2022-05-24","QR",NA,2,2,4.745,2.475,0.025,9.871,"HopGuard","Organic"," NA",0,283,285,369,"QR QR QR QR ",0,0,0,0,1,0,151.8,68.9172,191.4,86.8956
"43","22-043","Wire","3/15/22","S6","21-229",3,3,1,"6-ManyDribble",6,"3/17/22",4,0,4,277,19,0,"4/2/22","QS","Y","Eggs",2,"4/14/22","Y","QR","Capped",NA,"16","#VALUE!",16,"4/28/22","Y","QR",8.5,"5/12/22","Y","QR","14","5/26/22","Y","QR",12.5,"",4,353,8,0,1,129.2,"Four",3,"6/30/22",3,228.4,"QR",14,NA,5,340,7,0,"",NA,"","2022-05-31","QS",NA,2,1,6.003,3.025,0.125,7.154,"5x OA Dribble","Organic"," NA",0,296,361,347,"QR QR QR QS ",0,0,0,0,1,0,129.2,58.6568,204.4,92.7976
"44","22-044","Wire","3/15/22","S6","21-229",3,3,2,"4-Dribble18",4,"3/17/22",1,0,1,271,17,0,"4/2/22","VQS","N",NA,NA,"4/14/22","Y","QS","Eggs",2,"#VALUE!","28",28,"4/28/22","Y","QR",4,"5/12/22","Y","QR","5","5/26/22","Y","QR",8,"",1,407,0,0,1,97.2,"Normal",1,"6/30/22",1,150,"QR",11,NA,0,283,7,0,"",NA,"","2022-05-31","QR",NA,2,1,2.975,2.2625,0,2.8,"OA Dribble","Organic"," NA",0,288,407,290,"QR QR QR QR ",0,0,0,0,1,0,97.2,44.1288,150,68.1
"45","22-045","Wire","3/15/22","S6","21-229",3,3,2,"7-HopGuard",7,"3/17/22",4,0,4,299,2,0,"4/2/22","QNS","N",NA,NA,"4/14/22","Y","QR","Prepupa",11,"#VALUE!","19",19,"4/28/22","Y","QR",3,"5/12/22","Y","QR","6","5/26/22","Y","QS",5,"",1,290,0,0,1,95,"Normal",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/31/22",77,"EFB","2022-05-31","QR",NA,2,1,1.55,0.825,0,3.65,"HopGuard","Organic","EFB NA",1,301,290,NA,"QR QR QS QR EFB",0,0,0,0,1,1,95,43.13,NA,NA
"46","22-046","Wire","3/15/22","S6","21-226",1,3,4,"1-Control",1,"3/17/22",NA,NA,0,322,2,0,"4/2/22","QS","Y","Eggs",2,"4/14/22","Y","QR","Capped",NA,"16","#VALUE!",16,"4/28/22","Y","QR",12,"5/12/22","Y","QR","18","5/26/22","Y","QR",17,"",6,283,15,0,1,145,"Normal",2,"6/30/22",2,183.4,"QNS",13,1,44,270,2,0,"",NA,"","2022-05-31","QS",NA,2,1,11.182,2.625,0.2625,9.216,"Control","Control"," NA",0,324,298,272,"QR QR QR QS ",0,0,0,0,1,0,145,65.83,171.4,77.8156
"47","22-047","Wire","3/15/22","S6","21-226",1,3,4,"7-HopGuard",7,"3/17/22",NA,NA,0,335,0,0,"4/2/22","VQS","N",NA,NA,"4/14/22","Y","QS","Prepupa",11,"#VALUE!","19",19,"4/28/22","Y","QR",6,"5/12/22","Y","QR","13","5/26/22","Y","QR",12,"",1,355,6,0,1,132.6,"Normal",1,"6/30/22",1,152.2,"QL",9,1,12,237,21,0,"",NA,"","2022-05-31","QS",NA,2,1,6.876,2.4,0.5125,6.66,"HopGuard","Organic"," NA",0,335,361,258,"QR QR QR QS ",0,0,0,0,1,0,132.6,60.2004,152.2,69.0988
"48","22-048","Wire","3/15/22","S6","21-226",1,3,4,"4-Dribble18",4,"3/17/22",NA,NA,0,317,1,0,"4/2/22","QS","Y","L1",4,"4/14/22","Y","QR","Capped",NA,"14","#VALUE!",14,"4/28/22","Y","QS",8,"5/12/22","Y","QR","17","5/26/22","Y","QR",17,"",0,340,3,0,1,143.2,"Normal",1,"6/30/22",1,169.8,"QNS",14,1,5,335,1,0,"",NA,"","2022-05-31","QR",NA,2,1,10.0842,2.825,0.125,7.548,"OA Dribble","Organic"," NA",0,318,343,336,"QS QR QR QR ",0,0,0,0,1,0,143.2,65.0128,169.8,77.0892
"49","22-049","Wire","3/15/22","S6","21-216",1,3,3,"7-HopGuard",7,"3/17/22",NA,NA,13,284,58,0,"4/2/22","VQS","N",NA,NA,"4/14/22","Y","QR","Prepupa",11,"#VALUE!","19",19,"4/28/22","Y","QR",3.5,"5/12/22","Y","QR","8","5/26/22","Y","QR",9,"",4,288,5,0,1,106.4,"Four",2,"6/30/22",2,175.6,"QR",18,NA,4,248,5,0,"",NA,"","2022-05-31","QR",NA,2,1,4.6935,2.475,0.1875,2.675,"HopGuard","Organic"," NA",0,342,293,253,"QR QR QR QR ",0,0,0,0,1,0,106.4,48.3056,163.6,74.2744
"50","22-050","Wire","3/15/22","S6","21-216",1,3,4,"2-Apivar",2,"3/17/22",NA,NA,3,304,24,0,"4/2/22","QNS","N",NA,NA,"4/14/22","Y","QS","L5",8,"#VALUE!","22",22,"4/28/22","Y","QS",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4/28/22",44,"Weak",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Apivar","Synthetic","Weak NA",0,328,NA,NA,"QS NA NA NA Weak",0,1,0,0,1,1,NA,NA,NA,NA
"51","22-051","Wire","3/15/22","S6","21-216",1,3,4,"3-Taktic",3,"3/17/22",NA,NA,2,225,11,0,"4/2/22","QNS","N",NA,NA,"4/14/22","Y","QS","L1",4,"#VALUE!","26",26,"4/28/22","Y","QS",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4/28/22",44,"DL",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Amitraz EC","Synthetic","DL NA",0,236,NA,NA,"QS NA NA NA DL",0,0,0,1,1,1,NA,NA,NA,NA
"52","22-052","Wire","3/15/22","S6","21-215",2,2,2,"3-Taktic",3,"3/17/22",NA,NA,3,338,28,0,"4/2/22","QNS","N",NA,NA,"4/14/22","Y","QR","Eggs",2,"#VALUE!","28",28,"4/28/22","N","DL",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4/28/22",44,"DL",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Amitraz EC","Synthetic","DL NA",0,366,NA,NA,"DL NA NA NA DL",1,0,0,0,0,1,NA,NA,NA,NA
"53","22-053","Wire","3/15/22","S6","21-215",2,2,2,"1-Control",1,"3/17/22",NA,NA,1,252,18,0,"4/2/22","QS","Y","Eggs",2,"4/14/22","Y","QR","Capped",NA,"16","#VALUE!",16,"4/28/22","Y","QR",10,"5/12/22","Y","QR","14","5/26/22","Y","QR",14,"",3,332,2,0,1,132.6,"Normal",1,"6/30/22",1,162.4,"QL",17,1,19,341,3,0,"",NA,"","2022-05-31","QR",NA,2,1,5.817,3.25,0.2125,5.931,"Control","Control"," NA",0,270,334,344,"QR QR QR QR ",0,0,0,0,1,0,132.6,60.2004,162.4,73.7296
"54","22-054","Wire","3/15/22","S6","21-211",0,4,5,"6-ManyDribble",6,"3/17/22",NA,NA,2,248,35,0,"4/2/22","QS","Y","L1",4,"4/14/22","Y","QR","Capped",NA,"14","#VALUE!",14,"4/28/22","Y","QR",6.5,"5/12/22","Y","QR","8","5/26/22","Y","QR",9.5,"",2,330,5,0,1,126,"Normal",1,"6/30/22",1,161.8,"QL",15,1,11,283,10,0,"",NA,"","2022-05-31","QR",NA,2,1,3.35,1.325,0.3625,7.325,"5x OA Dribble","Organic"," NA",0,283,335,293,"QR QR QR QR ",0,0,0,0,1,0,126,57.204,161.8,73.4572
"55","22-055","Wire","3/15/22","S6","21-211",0,4,5,"3-Taktic",3,"3/17/22",NA,NA,1,286,13,0,"4/2/22","QNS","N",NA,NA,"4/14/22","Y","QR","L2",5,"#VALUE!","25",25,"4/28/22","Y","DL",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4/28/22",44,"DL",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Amitraz EC","Synthetic","DL NA",0,299,NA,NA,"DL NA NA NA DL",1,0,0,0,0,1,NA,NA,NA,NA
"56","22-056","Wire","3/15/22","S6","21-211",0,4,5,"1-Control",1,"3/17/22",NA,NA,0,287,7,0,"4/2/22","QR","Y","L1",4,"4/14/22","Y","QR","Capped",NA,"14","#VALUE!",14,"4/28/22","Y","QR",12.5,"5/12/22","Y","QR","16","5/26/22","Y","QR",15,"",4,338,2,0,1,138.4,"Four",3,"6/30/22",3,240.2,"QR",18,NA,4,337,1,0,"",NA,"","2022-05-31","QR",NA,2,1,8.16,3.0625,0.0875,9.27,"Control","Control"," NA",0,294,340,338,"QR QR QR QR ",0,0,0,0,1,0,138.4,62.8336,216.2,98.1548
"57","22-057","Wire","3/15/22","S6","21-211",0,4,5,"2-Apivar",2,"3/17/22",NA,NA,0,297,15,0,"4/2/22","QR","Y","Eggs",2,"4/14/22","Y","QR","Capped",NA,"16","#VALUE!",16,"4/28/22","Y","QR",8,"5/12/22","Y","QR","16","5/26/22","Y","QR",16,"",2,359,3,0,1,134.8,"Normal",2,"6/30/22",2,159.8,"VQS",13,1,9,244,2,0,"",NA,"","2022-05-31","QR",NA,2,1,7.075,3.8625,0.375,6.025,"Apivar","Synthetic"," NA",0,312,362,246,"QR QR QR QR ",0,0,0,0,1,0,134.8,61.1992,147.8,67.1012
"58","22-058","Wire","3/15/22","S6","21-210",1,3,3,"4-Dribble18",4,"3/17/22",NA,NA,0,334,6,0,"4/2/22","VQS","N",NA,NA,"4/14/22","Y","QS","L5",8,"#VALUE!","22",22,"4/28/22","Y","QR",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4/28/22",44,"Weak",NA,NA,NA,NA,NA,NA,NA,NA,NA,"OA Dribble","Organic","Weak NA",0,340,NA,NA,"QR NA NA NA Weak",0,1,0,0,1,1,NA,NA,NA,NA
"59","22-059","Wire","3/15/22","S6","21-210",1,3,3,"3-Taktic",3,"3/17/22",NA,NA,0,248,21,0,"4/2/22","QNS","N",NA,NA,"4/14/22","Y","QS","Prepupa",11,"#VALUE!","19",19,"4/28/22","Y","QR",12,"5/12/22","Y","QR","12","5/26/22","Y","QR",11,"",1,227,0,0,1,130.4,"Normal",2,"6/30/22",2,217.4,"QR",18,NA,3,349,5,0,"",NA,"","2022-05-31","QR",NA,2,1,5.448,2.4,0.2,7.037,"Amitraz EC","Synthetic"," NA",0,269,227,354,"QR QR QR QR ",0,0,0,0,1,0,130.4,59.2016,205.4,93.2516
"60","22-060","Wire","3/15/22","S6","21-210",1,3,3,"1-Control",1,"3/17/22",NA,NA,0,283,6,0,"4/2/22","QR","Y","L1",4,"4/14/22","Y","QS","Capped",NA,"14","#VALUE!",14,"4/28/22","Y","QR",9,"5/12/22","Y","QR","8","5/26/22","N","QNS",6,"",22,359,16,0,1,108.2,"Normal",1,"6/30/22",1,137.8,"QS",12,NA,5,260,0,0,"",NA,"","2022-05-31","QR",NA,2,1,2.51,0,0.025,5.3,"Control","Control"," NA",0,289,375,260,"QR QR QNS QR ",0,0,0,0,1,0,108.2,49.1228,137.8,62.5612
"61","22-061","Wire","3/15/22","S6","21-206",2,3,2,"2-Apivar",2,"3/17/22",NA,NA,3,254,26,0,"4/2/22","QR","Y","Eggs",2,"4/14/22","Y","QS","Capped",NA,"16","#VALUE!",16,"4/28/22","Y","QR",11,"5/12/22","Y","QR","16","5/26/22","Y","QR",13,"",2,293,14,0,1,158.4,"Normal",3,"6/30/22",3,258.8,"QR",20,NA,15,346,5,0,"",NA,"","2022-05-31","QS",NA,2,1,6.431,2.85,0.15,10.769,"Apivar","Synthetic"," NA",0,280,307,351,"QR QR QR QS ",0,0,0,0,1,0,158.4,71.9136,234.8,106.5992
"62","22-062","Wire","3/15/22","S6","21-206",2,3,2,"5-Vapor18",5,"3/17/22",NA,NA,3,382,4,0,"4/2/22","VQS","N",NA,NA,"4/14/22","Y","QR","Prepupa",11,"#VALUE!","19",19,"4/28/22","Y","QS",4,"5/12/22","Y","QR","7","5/26/22","Y","QR",6,"",0,382,0,0,1,103.4,"Normal",2,"6/30/22",2,197.2,"QS",16,NA,3,383,0,0,"",NA,"","2022-05-31","QS",NA,2,1,3.4,3.25,0,2.125,"OA Vapor","Organic"," NA",0,386,382,383,"QS QR QR QS ",0,0,0,0,1,0,103.4,46.9436,185.2,84.0808
"63","22-063","Wire","3/15/22","S6","21-206",2,3,2,"6-ManyDribble",6,"3/17/22",NA,NA,1,307,14,0,"4/2/22","QS","Y","Eggs",2,"4/14/22","Y","QR","Capped",NA,"16","#VALUE!",16,"4/28/22","Y","QR",13,"5/12/22","Y","QR","8","5/26/22","Y","QR",15,"",5,260,16,0,1,143.2,"Normal",2,"6/30/22",2,216.6,"QS",18,NA,10,319,19,0,"",NA,"","2022-05-31","QR",NA,2,1,7.275,2.2625,0.425,7.05,"5x OA Dribble","Organic"," NA",0,321,276,338,"QR QR QR QR ",0,0,0,0,1,0,143.2,65.0128,204.6,92.8884
"64","22-064","Wire","3/15/22","S6","21-203",0,3,5,"5-Vapor18",5,"3/17/22",NA,NA,0,323,8,0,"4/2/22","QNS","N",NA,NA,"4/14/22","Y","QR","L5",8,"#VALUE!","22",22,"4/28/22","Y","QR",2,"5/12/22","Y","QR","6","5/26/22","Y","QR",5.5,"",0,360,0,0,1,97.6,"Normal",1,"6/30/22",1,146.2,"QR",14,NA,2,377,4,0,"",NA,"","2022-05-31","QR",NA,2,1,4.275,2.5375,0.1,2.55,"OA Vapor","Organic"," NA",0,331,360,381,"QR QR QR QR ",0,0,0,0,1,0,97.6,44.3104,146.2,66.3748
"65","22-065","Wire","3/15/22","S6","21-203",0,3,5,"4-Dribble18",4,"3/17/22",NA,NA,2,287,10,0,"4/2/22","QNS","N",NA,NA,"4/14/22","Y","QR","L5",8,"#VALUE!","22",22,"4/28/22","Y","QS",4,"5/12/22","Y","QR","11","5/26/22","Y","QS",8,"",0,386,0,0,1,106.2,"Normal",2,"6/30/22",2,187.2,"QR",20,NA,0,239,5,0,"",NA,"","2022-05-31","QR",NA,2,1,4.675,3.625,0.1875,2.45,"OA Dribble","Organic"," NA",0,297,386,244,"QS QR QS QR ",0,0,0,0,1,0,106.2,48.2148,175.2,79.5408
"66","22-066","Wire","3/15/22","S6","21-203",0,3,5,"7-HopGuard",7,"3/17/22",NA,NA,1,285,19,0,"4/2/22","QNS","N",NA,NA,"4/14/22","N","QNS",NA,NA,"#VALUE!","#VALUE!",NA,"4/28/22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4/14/22",30,"Failed to mate",NA,NA,NA,NA,NA,NA,NA,NA,NA,"HopGuard","Organic","Failed to mate NA",0,304,NA,NA,"NA NA NA NA Failed to mate",1,0,0,0,0,1,NA,NA,NA,NA
"67","22-067","Wire","3/15/22","S6","21-202",5,3,1,"3-Taktic",3,"3/17/22",2,1,3,251,5,0,"4/2/22","QNS","N",NA,NA,"4/14/22","Y","QR","L1",4,"#VALUE!","26",26,"4/28/22","Y","DL",3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4/28/22",44,"DL",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Amitraz EC","Synthetic","DL NA",0,256,NA,NA,"DL NA NA NA DL",1,0,0,0,0,1,NA,NA,NA,NA
"68","22-068","Wire","3/15/22","S6","21-202",5,3,1,"4-Dribble18",4,"3/17/22",1,0,1,265,6,0,"4/2/22","VQS","N",NA,NA,"4/14/22","Y","QS","Prepupa",11,"#VALUE!","19",19,"4/28/22","Y","QR",6,"5/12/22","Y","QR","7","5/26/22","Y","QR",13,"",11,377,4,0,1,109.6,"Normal",1,"6/30/22",1,166.4,"QR",16,NA,11,386,4,0,"",NA,"","2022-05-31","QS",NA,2,1,3.45,2.9,0.2,3.6,"OA Dribble","Organic"," NA",0,271,381,390,"QR QR QR QS ",0,0,0,0,1,0,109.6,49.7584,166.4,75.5456
"69","22-069","Wire","3/15/22","S6","21-202",5,3,1,"1-Control",1,"3/17/22",0,0,0,274,0,0,"4/2/22","QNS","N",NA,NA,"4/14/22","Y","QR","Prepupa",11,"#VALUE!","19",19,"4/28/22","Y","QR",5,"5/12/22","Y","QR","6","5/26/22","Y","QR",11,"",0,338,1,0,1,106.4,"Normal",2,"6/30/22",2,180.2,"QR",17,NA,1,246,1,0,"",NA,"","2022-05-31","QS",NA,2,1,3.2,3.15,0.025,3.675,"Control","Control"," NA",0,274,339,247,"QR QR QR QS ",0,0,0,0,1,0,106.4,48.3056,168.2,76.3628
"70","22-070","Wire","3/15/22","S6","21-201",1,3,3,"5-Vapor18",5,"3/17/22",NA,NA,0,336,7,0,"4/2/22","QS","Y","L1",4,"4/14/22","Y","QR","Capped",NA,"14","#VALUE!",14,"4/28/22","Y","QR",13,"5/12/22","Y","QR","17","5/26/22","Y","QR",17,"",3,368,15,0,1,148.8,"Normal",3,"6/30/22",3,224.6,"QR",19,NA,14,286,19,0,"",NA,"","2022-05-31","QR",NA,2,1,6.826,2.2,0.4375,9.056,"OA Vapor","Organic"," NA",0,343,383,305,"QR QR QR QR ",0,0,0,0,1,0,148.8,67.5552,200.6,91.0724
