"","colony_num","new_yard","split_date","parent_yard","parent_id","varroa_5cup","splits_made","stratum","trt","trt_numeric","ch2_date","ch2_var_tray","ch2_var_wash","ch2_var_total","ch2_wash_workers","ch2_wash_drones","ch2_wash_queens","ch18_date","ch18_qstatus","ch18_eggs","ch18_ageoldest","ch18_age","ch30_date","ch30_eggs","ch30_qstatus","ch30_ageoldest","ch30_age","lay_18","lay_30","start_layday","ch44_date","ch44_eggs","ch44_qstatus","ch44_fob","ch58_date","ch58_eggs","ch58_qstatus","ch58_fob","ch72_date","ch72_eggs","ch72_qstatus","ch72_fob","ch72_supered","ch77_var_total","ch77_wash_workers","ch77_wash_drones","ch77_wash_queens","ch77_supers_use","ch77_lbs","bottom_board","supers_supering_sheet_dontuse","chpost_date","post_supers_use","post_lbs","post_q_status","post_quick_fob","post_issues","chpost_var_total","chpost_wash_workers","chpost_wash_drones","chpost_wash_queens","date_decided_remove","exp_day_decided_remove","reason_removal","date","ch77_qstatus","ch77_efb","ch77_deeps_num","ch77_mediums_num","frames_bees","frames_wbr","frames_dbr","frames_honey","trt_label","trt_type","efb_columns","efb","ch2_wash_bees","ch77_wash_bees","chpost_wash_bees","qstatuses","failed","weak","QL","DL","established","issues","ch77_lbs_C","ch77_kgs_C","post_lbs_C","post_kgs_C"
"71","22-071","Wire","3/15/22","S6","21-201",1,3,3,"2-Apivar",2,"3/17/22",NA,NA,1,283,14,0,"4/2/22","QS","Y","L1",4,"4/14/22","Y","QR","Capped",NA,"14","#VALUE!",14,"4/28/22","Y","QR",12,"5/12/22","Y","QR","17","5/26/22","Y","QR",17,"",9,347,6,0,1,156,"Normal",3,"6/30/22",3,247.8,"QR",20,NA,12,285,9,0,"",NA,"","2022-05-31","QS",NA,2,1,6.658,2.4,0.2,10.323,"Apivar","Synthetic"," NA",0,297,353,294,"QR QR QR QS ",0,0,0,0,1,0,156,70.824,223.8,101.6052
"72","22-072","Wire","3/15/22","S6","21-201",1,3,3,"6-ManyDribble",6,"3/17/22",NA,NA,0,296,11,0,"4/2/22","QS","Y","Eggs",2,"4/14/22","Y","QR","Prepupa",11,"16","19",17.5,"4/28/22","Y","QR",7,"5/12/22","Y","QR","13","5/26/22","Y","QR",10,"",2,310,1,0,1,122.2,"Normal",2,"6/30/22",2,200.6,"QR",18,NA,5,238,12,0,"",NA,"","2022-05-31","QS",NA,2,1,4.75,2.525,0.0625,4.975,"5x OA Dribble","Organic"," NA",0,307,311,250,"QR QR QR QS ",0,0,0,0,1,0,122.2,55.4788,188.6,85.6244
"73","22-073","Wire","3/15/22","S6","20-7",4,3,1,"5-Vapor18",5,"3/17/22",3,1,4,282,6,0,"4/2/22","QNS","N",NA,NA,"4/14/22","N","QNS",NA,NA,"#VALUE!","#VALUE!",NA,"4/28/22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4/14/22",30,"Failed to mate",NA,NA,NA,NA,NA,NA,NA,NA,NA,"OA Vapor","Organic","Failed to mate NA",0,288,NA,NA,"NA NA NA NA Failed to mate",1,0,0,0,0,1,NA,NA,NA,NA
"74","22-074","Wire","3/15/22","S6","20-7",4,3,1,"7-HopGuard",7,"3/17/22",3,2,5,279,8,0,"4/2/22","QS","Y","L2",5,"4/14/22","Y","QR","Capped",NA,"13","#VALUE!",13,"4/28/22","Y","QS",11,"5/12/22","Y","QR","16","5/26/22","Y","QR",13,"",1,310,4,0,1,130.6,"Normal",2,"6/30/22",2,191.4,"QL",18,1,42,282,40,0,"",NA,"","2022-05-31","QR",NA,NA,NA,6.193,2.775,0.425,4.764,"HopGuard","Organic"," NA",0,287,314,322,"QS QR QR QR ",0,0,0,0,1,0,130.6,59.2924,179.4,81.4476
"75","22-075","Wire","3/15/22","S6","20-7",4,3,1,"2-Apivar",2,"3/17/22",2,0,2,269,5,0,"4/2/22","QS","Y","L2",5,"4/14/22","Y","QR","Capped",NA,"13","#VALUE!",13,"4/28/22","Y","QR",12,"5/12/22","Y","QR","15","5/26/22","Y","QR",13,"",4,362,3,0,1,141.8,"Normal",1,"6/30/22",1,166.8,"QS",13,NA,27,320,3,0,"",NA,"","2022-05-31","QR",NA,2,1,7.927,2.4875,0.275,7.5705,"Apivar","Synthetic"," NA",0,274,365,323,"QR QR QR QR ",0,0,0,0,1,0,141.8,64.3772,166.8,75.7272
"76","22-076","Wire","3/15/22","S6","21-237",1,2,4,"5-Vapor18",5,"3/17/22",NA,NA,1,309,3,0,"4/2/22","VQS","N",NA,NA,"4/14/22","Y","QR","Eggs",2,"#VALUE!","28",28,"4/28/22","Y","QS",2,"5/12/22","Y","QR","2","5/26/22","Y","QR",4,"",0,324,2,0,1,87.8,"Normal",1,"6/30/22",1,99.2,"QS",8,NA,0,309,1,0,"",NA,"","2022-05-31","QR",NA,2,1,1.025,0.925,0.0125,1.65,"OA Vapor","Organic"," NA",0,312,326,310,"QS QR QR QR ",0,0,0,0,1,0,87.8,39.8612,99.2,45.0368
"77","22-077","Wire","3/15/22","S6","21-237",1,2,4,"6-ManyDribble",6,"3/17/22",NA,NA,0,369,5,0,"4/2/22","VQS","N",NA,NA,"4/14/22","Y","QS","Eggs",2,"#VALUE!","28",28,"4/28/22","Y","QS",2.5,"5/12/22","Y","QR","3.5","5/26/22","Y","QR",5.5,"",0,417,0,0,1,92.2,"Normal",1,"6/30/22",1,142.8,"QR",11,NA,0,281,1,0,"",NA,"","2022-05-31","QR",NA,2,1,2.075,2.175,0,0.8,"5x OA Dribble","Organic"," NA",0,374,417,282,"QS QR QR QR ",0,0,0,0,1,0,92.2,41.8588,142.8,64.8312
"78","22-078","Shooting Range","3/22/22","Bee Lab","21-243",9,3,2,"5-Vapor18",5,"3/24/22",2,6,8,287,2,0,"4/9/22","QNS","N",NA,NA,"4/21/22","Y","QR","Prepupa",11,"#VALUE!","19",19,"5/5/22","Y","QR",10,"5/19/22","Y","QR","12","6/2/22","Y","QR",14,"",11,NA,NA,NA,1,129.4,"Normal",2,"6/30/22",2,171.2,"QR",17,NA,14,310,9,0,"",NA,"","2022-06-07","QR",NA,NA,NA,5.125,2.5625,0.0375,5.85,"OA Vapor","Organic"," NA",0,289,362,319,"QR QR QR QR ",0,0,0,0,1,0,129.4,58.7476,159.2,72.2768
"79","22-079","Shooting Range","3/22/22","Bee Lab","21-243",9,3,2,"1-Control",1,"3/24/22",1,4,5,308,1,0,"4/9/22","QS","Y","eggs",2,"4/21/22","Y","QR","Capped",NA,"16","#VALUE!",16,"5/5/22","Y","QR",11.5,"5/19/22","Y","QR","14","6/2/22","Y","QR",16,"",60,453,5,0,1,136.4,"Normal",2,"6/30/22",2,166.4,"QR",15,NA,39,307,2,0,"",NA,"","2022-06-07","QR",NA,NA,NA,6.038,2.6875,0.2375,6.235,"Control","Control"," NA",0,309,458,309,"QR QR QR QR ",0,0,0,0,1,0,136.4,61.9256,154.4,70.0976
"80","22-080","Shooting Range","3/22/22","Bee Lab","21-243",9,3,3,"2-Apivar",2,"3/24/22",5,4,9,331,18,0,"4/9/22","VQS","N",NA,NA,"4/21/22","Y","QR","L3",6,"#VALUE!","24",24,"5/5/22","Y","QR",8,"5/19/22","Y","QR","5.5","6/2/22","Y","QR",8,"",2,340,1,0,1,104.2,"Normal",1,"6/30/22",1,111.4,"QS",12,NA,2,362,2,0,"",NA,"","2022-06-07","QS",NA,NA,NA,2.475,1.925,0.0375,3,"Apivar","Synthetic"," NA",0,349,341,364,"QR QR QR QS ",0,0,0,0,1,0,104.2,47.3068,111.4,50.5756
"81","22-081","Shooting Range","3/22/22","Bee Lab","1004",24,3,1,"7-HopGuard",7,"3/24/22",16,6,22,340,19,0,"4/9/22","QR","Y","L3",6,"4/21/22","Y","QR","Capped",NA,"12","#VALUE!",12,"5/5/22","Y","QR",6.5,"5/19/22","Y","QR","6","6/2/22","Y","QR",8,"",3,442,0,0,1,100,"Normal",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6/7/22",77,"d72 EFB","2022-06-07","QR",NA,NA,NA,2.2,1.675,0,3.075,"HopGuard","Organic","d72 EFB NA",1,359,442,NA,"QR QR QR QR d72 EFB",0,0,0,0,1,1,100,45.4,NA,NA
"82","22-082","Shooting Range","3/22/22","Bee Lab","1004",24,3,2,"3-Taktic",3,"3/24/22",12,3,15,319,24,0,"4/9/22","QS","Y","L2",5,"4/21/22","Y","QR","Capped",NA,"13","#VALUE!",13,"5/5/22","Y","QR",8,"5/19/22","Y","QR","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Normal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/19/22",58,"EFB",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Amitraz EC","Synthetic","EFB NA",1,343,NA,NA,"QR QR NA NA EFB",0,0,0,0,1,1,NA,NA,NA,NA
"83","22-083","Shooting Range","3/22/22","Bee Lab","1004",24,3,2,"6-ManyDribble",6,"3/24/22",6,4,10,284,32,0,"4/9/22","QS","Y","eggs",2,"4/21/22","Y","QR","Capped",NA,"16","#VALUE!",16,"5/5/22","Y","QNS",6,"5/19/22","Y","DL","3.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Normal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/19/22",58,"DL",NA,NA,NA,NA,NA,NA,NA,NA,NA,"5x OA Dribble","Organic","DL NA",0,316,NA,NA,"QNS DL NA NA DL",0,0,0,1,1,1,NA,NA,NA,NA
"84","22-084","Shooting Range","3/22/22","Bee Lab","21-081",38,3,1,"3-Taktic",3,"3/24/22",14,6,20,276,33,0,"4/9/22","QNS","N",NA,NA,"4/21/22","Y","QR","L3",6,"#VALUE!","24",24,"5/5/22","Y","QR",4,"5/19/22","Y","QR","4","6/2/22","Y","QR",5,"",0,449,0,0,1,94.6,"Normal",1,"6/30/22",1,112.2,"QR",11,NA,3,363,2,0,"",NA,"","2022-06-07","QS",NA,NA,NA,2.675,1.9,0,1.6,"Amitraz EC","Synthetic"," NA",0,309,449,365,"QR QR QR QS ",0,0,0,0,1,0,94.6,42.9484,112.2,50.9388
"85","22-085","Shooting Range","3/22/22","Bee Lab","21-081",38,3,1,"5-Vapor18",5,"3/24/22",16,6,22,299,5,0,"4/9/22","QNS","N",NA,NA,"4/21/22","Y","QR","Prepupa",11,"#VALUE!","19",19,"5/5/22","Y","QR",7.5,"5/19/22","Y","QR","5","6/2/22","Y","QR",6,"",27,512,4,0,1,109.4,"Normal",1,"6/30/22",1,120.6,"QR",13,NA,37,428,0,0,"",NA,"","2022-06-07","QS",NA,NA,NA,2.775,2.675,0.15,2.575,"OA Vapor","Organic"," NA",0,304,516,428,"QR QR QR QS ",0,0,0,0,1,0,109.4,49.6676,120.6,54.7524
"86","22-086","Shooting Range","3/22/22","Bee Lab","21-081",38,3,1,"4-Dribble18",4,"3/24/22",25,6,31,262,30,0,"4/9/22","QS","Y","L3",6,"4/21/22","Y","QR","Capped",NA,"12","#VALUE!",12,"5/5/22","Y","QR",10,"5/19/22","Y","QR","9","6/2/22","Y","QR",9.5,"",24,393,0,0,1,130.2,"Normal",1,"6/30/22",1,145.6,"QR",12,NA,21,413,0,0,"",NA,"","2022-06-07","QS",NA,NA,NA,3.225,2.5375,0.1625,6.45,"OA Dribble","Organic"," NA",0,292,393,413,"QR QR QR QS ",0,0,0,0,1,0,130.2,59.1108,145.6,66.1024
"87","22-087","Shooting Range","3/22/22","Bee Lab","21-084",36,3,1,"1-Control",1,"3/24/22",20,12,32,281,24,0,"4/9/22","QNS","N",NA,NA,"4/21/22","Y","QR","Prepupa",11,"#VALUE!","19",19,"5/5/22","Y","QR",8,"5/19/22","Y","QR","7","6/2/22","Y","QR",10.5,"",8,358,0,0,1,113.8,"Normal",1,"6/30/22",1,136.8,"QR",15,NA,11,313,2,0,"",NA,"","2022-06-07","QR",NA,NA,NA,3.425,2.275,0.15,3.725,"Control","Control"," NA",0,305,358,315,"QR QR QR QR ",0,0,0,0,1,0,113.8,51.6652,136.8,62.1072
"88","22-088","Shooting Range","3/22/22","Bee Lab","21-084",36,3,1,"6-ManyDribble",6,"3/24/22",14,6,20,258,5,0,"4/9/22","QNS","N",NA,NA,"4/21/22","N","QNS",NA,NA,"#VALUE!","#VALUE!",NA,"5/5/22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Normal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4/21/22",30,"Failed to mate",NA,NA,NA,NA,NA,NA,NA,NA,NA,"5x OA Dribble","Organic","Failed to mate NA",0,263,NA,NA,"NA NA NA NA Failed to mate",1,0,0,0,0,1,NA,NA,NA,NA
"89","22-089","Shooting Range","3/22/22","Bee Lab","21-084",36,3,1,"2-Apivar",2,"3/24/22",7,6,13,334,13,0,"4/9/22","QR","Y","eggs",2,"4/21/22","Y","QR","Capped",NA,"16","#VALUE!",16,"5/5/22","Y","QR",8,"5/19/22","Y","QR","7","6/2/22","Y","QR",6,"",5,406,0,0,1,122.6,"Normal",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6/7/22",77,"EFB","2022-06-07","QS","Observed",NA,NA,2.735,1.2925,0,6.85,"Apivar","Synthetic","EFB Observed",1,347,406,NA,"QR QR QR QS EFB",0,0,0,0,1,1,122.6,55.6604,NA,NA
"90","22-090","Shooting Range","3/22/22","Bee Lab","2dog",5,2,4,"7-HopGuard",7,"3/24/22",5,3,8,322,1,0,"4/9/22","VQS","N",NA,NA,"4/21/22","Y","LW","Eggs",2,"#VALUE!","28",28,"5/5/22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Normal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4/21/22",30,"Failed to mate",NA,NA,NA,NA,NA,NA,NA,NA,NA,"HopGuard","Organic","Failed to mate NA",0,323,NA,NA,"NA NA NA NA Failed to mate",1,0,0,0,0,1,NA,NA,NA,NA
"91","22-091","Shooting Range","3/22/22","Bee Lab","2dog",5,2,4,"5-Vapor18",5,"3/24/22",7,4,11,315,1,0,"4/9/22","QR","Y","L1",4,"4/21/22","Y","QR","Capped",NA,"14","#VALUE!",14,"5/5/22","Y","QR",9,"5/19/22","Y","QR","11","6/2/22","Y","QR",12.5,"",14,406,1,0,1,145.2,"Normal",1,"6/30/22",1,165.8,"QR",13,NA,28,363,0,0,"",NA,"","2022-06-07","QS",NA,2,1,4.3,2.4,0.0875,7.8,"OA Vapor","Organic"," NA",0,316,407,363,"QR QR QR QS ",0,0,0,0,1,0,145.2,65.9208,165.8,75.2732
"92","22-092","Shooting Range","3/22/22","Bee Lab","Last",7,3,3,"4-Dribble18",4,"3/24/22",2,2,4,368,3,0,"4/9/22","QNS","N",NA,NA,"4/21/22","Y","QS","L5",8,"#VALUE!","22",22,"5/5/22","Y","QR",5,"5/19/22","Y","QR","5","6/2/22","Y","QR",6,"",15,400,0,0,1,96.4,"Four",1,"6/30/22",1,105,"QR",11,NA,10,342,1,0,"",NA,"","2022-06-07","QS",NA,2,1,2.475,2.175,0.025,1.9,"OA Dribble","Organic"," NA",0,371,400,343,"QR QR QR QS ",0,0,0,0,1,0,96.4,43.7656,105,47.67
"93","22-093","Shooting Range","3/22/22","Bee Lab","Last",7,3,3,"5-Vapor18",5,"3/24/22",8,7,15,330,25,0,"4/9/22","QR","Y","L2",5,"4/21/22","Y","QR","Capped",NA,"13","#VALUE!",13,"5/5/22","Y","QR",10,"5/19/22","Y","QR","5.5","6/2/22","Y","QR",7,"",25,353,0,0,1,117,"Four",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6/7/22",77,"d72 EFB","2022-06-07","QR","Observed",NA,NA,2.425,1.3875,0.175,5.075,"OA Vapor","Organic","d72 EFB Observed",1,355,353,NA,"QR QR QR QR d72 EFB",0,0,0,0,1,1,117,53.118,NA,NA
"94","22-094","Shooting Range","3/22/22","Bee Lab","Last",7,3,3,"6-ManyDribble",6,"3/24/22",3,4,7,272,13,0,"4/9/22","QR","Y","L1",4,"4/21/22","Y","QR","Capped",NA,"14","#VALUE!",14,"5/5/22","Y","QR",8,"5/19/22","Y","QR","6","6/2/22","Y","QR",7.5,"",9,331,9,0,1,112.2,"Normal",1,"6/30/22",1,115.2,"QR",10,NA,24,362,19,0,"",NA,"","2022-06-07","QR",NA,2,1,2.025,1.825,0.075,2.625,"5x OA Dribble","Organic"," NA",0,285,340,381,"QR QR QR QR ",0,0,0,0,1,0,112.2,50.9388,115.2,52.3008
"95","22-095","Shooting Range","3/22/22","Bee Lab","21-088",2,2,5,"6-ManyDribble",6,"3/24/22",NA,NA,1,377,4,0,"4/9/22","QNS","N",NA,NA,"4/21/22","Y","QR","L3",6,"#VALUE!","24",24,"5/5/22","Y","QR",7,"5/19/22","Y","QR","4.5","6/2/22","Y","QR",6,"",0,345,0,0,1,98.2,"Normal",1,"6/30/22",1,113.8,"QR",8,NA,0,386,1,0,"",NA,"","2022-06-07","QR",NA,2,1,2.45,1.6,0.1,3.025,"5x OA Dribble","Organic"," NA",0,381,345,387,"QR QR QR QR ",0,0,0,0,1,0,98.2,44.5828,113.8,51.6652
"96","22-096","Shooting Range","3/22/22","Bee Lab","21-088",2,2,5,"5-Vapor18",5,"3/24/22",NA,NA,1,384,1,0,"4/9/22","QR","Y","eggs",2,"4/21/22","Y","QR","Capped",NA,"16","#VALUE!",16,"5/5/22","Y","QR",12,"5/19/22","Y","QR","13","6/2/22","Y","QR",17,"",5,376,2,0,1,145.4,"Four",2,"6/30/22",2,190.2,"QR",16,NA,5,279,8,0,"",NA,"","2022-06-07","QS",NA,2,1,5.128,2.925,0.3,9.762,"OA Vapor","Organic"," NA",0,385,378,287,"QR QR QR QS ",0,0,0,0,1,0,145.4,66.0116,178.2,80.9028
"97","22-097","Shooting Range","3/22/22","Kiwi","21-072",1,3,6,"3-Taktic",3,"3/24/22",NA,NA,0,361,11,0,"4/9/22","QNS","N",NA,NA,"4/21/22","Y","QR","L5",8,"#VALUE!","22",22,"5/5/22","Y","QR",7,"5/19/22","Y","QR","7","6/2/22","Y","QR",9,"",0,393,0,0,1,114.4,"Normal",1,"6/30/22",1,146,"QR",10,NA,2,416,4,0,"",NA,"","2022-06-07","QR",NA,NA,NA,3.725,3.2625,0.175,4.95,"Amitraz EC","Synthetic"," NA",0,372,393,420,"QR QR QR QR ",0,0,0,0,1,0,114.4,51.9376,146,66.284
"98","22-098","Shooting Range","3/22/22","Kiwi","21-072",1,3,6,"6-ManyDribble",6,"3/24/22",NA,NA,1,306,1,0,"4/9/22","QS","Y","L3",6,"4/21/22","Y","QR","Capped",NA,"12","#VALUE!",12,"5/5/22","Y","QR",11,"5/19/22","Y","QR","12","6/2/22","Y","QS",17,"",0,430,3,0,1,148.2,"Four",2,"6/30/22",2,189.6,"QR",14,NA,5,344,4,0,"",NA,"","2022-06-07","QS",NA,NA,NA,7.505,3.55,0.225,7,"5x OA Dribble","Organic"," NA",0,307,433,348,"QR QR QS QS ",0,0,0,0,1,0,148.2,67.2828,177.6,80.6304
"99","22-099","Shooting Range","3/22/22","Kiwi","21-072",1,3,6,"4-Dribble18",4,"3/24/22",NA,NA,1,266,27,0,"4/9/22","QS","Y","L2",5,"4/21/22","Y","QR","Capped",NA,"13","#VALUE!",13,"5/5/22","Y","QR",10,"5/19/22","Y","QR","12","6/2/22","Y","QR",15,"",0,399,2,0,1,136.2,"Normal",2,"6/30/22",2,177.4,"QR",16,NA,8,332,18,0,"",NA,"","2022-06-07","QS",NA,NA,NA,7.525,3.1125,0.1875,6.9,"OA Dribble","Organic"," NA",0,293,401,350,"QR QR QR QS ",0,0,0,0,1,0,136.2,61.8348,165.4,75.0916
"100","22-100","Shooting Range","3/22/22","Kiwi","21-063",1,3,5,"3-Taktic",3,"3/24/22",NA,NA,2,235,40,0,"4/9/22","QNS","N",NA,NA,"4/21/22","Y","QR","Prepupa",11,"#VALUE!","19",19,"5/5/22","Y","QR",9,"5/19/22","Y","QR","8","6/2/22","Y","QR",6,"",1,361,0,0,1,111.8,"Normal",1,"6/30/22",1,124.4,"QR",7,NA,1,354,0,0,"",NA,"","2022-06-07","QR",NA,NA,NA,2.075,1.825,0.0375,5.7,"Amitraz EC","Synthetic"," NA",0,275,361,354,"QR QR QR QR ",0,0,0,0,1,0,111.8,50.7572,124.4,56.4776
"101","22-101","Shooting Range","3/22/22","Kiwi","21-063",1,3,6,"2-Apivar",2,"3/24/22",NA,NA,0,339,19,0,"4/9/22","QR","Y","L2",5,"4/21/22","Y","QR","Capped",NA,"13","#VALUE!",13,"5/5/22","Y","QR",11,"5/19/22","Y","QR","8","6/2/22","Y","QR",10,"",0,417,0,0,1,128,"Normal",1,"6/30/22",1,155.4,"QR",11,NA,0,402,3,0,"",NA,"","2022-06-07","QS",NA,NA,NA,3.3,1.825,0.175,5.3625,"Apivar","Synthetic"," NA",0,358,417,405,"QR QR QR QS ",0,0,0,0,1,0,128,58.112,155.4,70.5516
"102","22-102","Shooting Range","3/22/22","Kiwi","21-063",1,3,6,"1-Control",1,"3/24/22",NA,NA,0,308,51,0,"4/9/22","QR","Y","L2",5,"4/21/22","Y","QR","Capped",NA,"13","#VALUE!",13,"5/5/22","Y","QR",12,"5/19/22","Y","QR","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/19/22",58,"EFB",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control","Control","EFB NA",1,359,NA,NA,"QR QR NA NA EFB",0,0,0,0,1,1,NA,NA,NA,NA
"103","22-103","Shooting Range","3/22/22","Kiwi","21-066",2,3,4,"4-Dribble18",4,"3/24/22",NA,NA,2,297,23,0,"4/9/22","QNS","N",NA,NA,"4/21/22","Y","QR","Prepupa",11,"#VALUE!","19",19,"5/5/22","Y","QR",12,"5/19/22","Y","QR","14","6/2/22","Y","QR",17,"",3,385,2,0,1,146.8,"Four",2,"6/30/22",2,186.5,"QR",18,NA,12,306,24,0,"",NA,"","2022-06-07","QR",NA,NA,NA,6.518,2.325,0.25,10.4445,"OA Dribble","Organic"," NA",0,320,387,330,"QR QR QR QR ",0,0,0,0,1,0,146.8,66.6472,174.5,79.223
"104","22-104","Shooting Range","3/22/22","Kiwi","21-066",2,3,4,"2-Apivar",2,"3/24/22",NA,NA,0,375,7,0,"4/9/22","QNS","N",NA,NA,"4/21/22","Y","QR","L4",7,"#VALUE!","23",23,"5/5/22","Y","QR",7,"5/19/22","Y","QR","6","6/2/22","Y","QR",8,"",0,448,0,0,1,101.6,"Four",1,"6/30/22",1,121,"QR",14,NA,0,370,6,0,"",NA,"","2022-06-07","QR",NA,NA,NA,2.7875,1.975,0.15,3.1125,"Apivar","Synthetic"," NA",0,382,448,376,"QR QR QR QR ",0,0,0,0,1,0,101.6,46.1264,121,54.934
"105","22-105","Shooting Range","3/22/22","Kiwi","21-066",2,3,4,"1-Control",1,"3/24/22",NA,NA,NA,NA,NA,NA,"4/9/22","QNS","N",NA,NA,"4/21/22","N","QNS",NA,NA,"#VALUE!","#VALUE!",NA,"5/5/22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4/21/22",30,"Failed to mate",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control","Control","Failed to mate NA",0,NA,NA,NA,"NA NA NA NA Failed to mate",1,0,0,0,0,1,NA,NA,NA,NA
